Model,Metric,mean,std,median
32AttnLongTokenUNet,Macro Precision,0.853747795717721,0.0119813337038045,0.8535098947757673
32AttnLongTokenUNet,Macro Recall,0.838531865616879,0.01046311293413343,0.8374606960636514
32AttnLongTokenUNet,Mean Dice,0.8227533960879864,0.01185493075113149,0.8220859639598642
32AttnTokenUNet,Macro Precision,0.8533390703209843,0.008024573368133298,0.8557122811302241
32AttnTokenUNet,Macro Recall,0.8401029912468765,0.012306810094878946,0.8359035329597343
32AttnTokenUNet,Mean Dice,0.8227234149498406,0.0111932239277063,0.8202545028606033
32MLPTokenUNet,Macro Precision,0.8556044352828971,0.00942537603022064,0.8562371380089183
32MLPTokenUNet,Macro Recall,0.8384376340728543,0.012531318855047704,0.8328417687989552
32MLPTokenUNet,Mean Dice,0.823828447107269,0.011023783664055445,0.8227227370296015
32TokenUNet,Macro Precision,0.8560893956207879,0.01003022161016124,0.8570212883026272
32TokenUNet,Macro Recall,0.8377151976502644,0.009608561912013256,0.8346043918075274
32TokenUNet,Mean Dice,0.8237357663995255,0.012477182224737223,0.8202703099979661
8AttnTokenUNet,Macro Precision,0.8535774003671717,0.0065556983408175526,0.8558225818919417
8AttnTokenUNet,Macro Recall,0.8401158787412077,0.011193250757722678,0.8396205217115456
8AttnTokenUNet,Mean Dice,0.8234453518238769,0.011258541439438422,0.8249412846165745
8MLPTokenUNet,Macro Precision,0.8564713763146831,0.0067387984867515825,0.8586645205044081
8MLPTokenUNet,Macro Recall,0.8383400366741153,0.01073792334902459,0.8354281891263075
8MLPTokenUNet,Mean Dice,0.8231268540218861,0.010320606416399194,0.820685514065688
8TokenUNet,Macro Precision,0.8534630345965816,0.010017304657940646,0.8536018540047633
8TokenUNet,Macro Recall,0.8395000353120432,0.008993364921086475,0.835703607834312
8TokenUNet,Mean Dice,0.8234538863645222,0.012428961931169855,0.8233472805839905
NDSnnUNet,Macro Precision,0.8568479320688246,0.01286796857138089,0.8641277252640998
NDSnnUNet,Macro Recall,0.8513878422802197,0.009429146067143061,0.8501610772379481
NDSnnUNet,Mean Dice,0.8309721130621848,0.010457537285274736,0.8319573654056164
NoTokenUNet,Macro Precision,0.8550916976320593,0.005375603708985493,0.8570112150094163
NoTokenUNet,Macro Recall,0.8425181420655219,0.01221405344920373,0.8415708523191422
NoTokenUNet,Mean Dice,0.8254031449791632,0.011160914457709824,0.8263370349654356
SwinUNETR,Macro Precision,0.84819237967756,0.008916600196083367,0.8498139532067521
SwinUNETR,Macro Recall,0.8459024431101335,0.013263645958893545,0.8402908693743512
SwinUNETR,Mean Dice,0.8225817061879169,0.014402803800722635,0.8189365644264163
nnUNet,Macro Precision,0.8651428733772724,0.008327612262279446,0.8676429455966355
nnUNet,Macro Recall,0.8549105026708184,0.010757320391361963,0.8547256502264878
nnUNet,Mean Dice,0.8379934138152588,0.011388672616001776,0.8399485683106733
